vds	V(n001)	V(n002)	I(Vds)	I(Vgs)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vgs=500m  (Step: 1/5)
0.000000000000000e+00	0.000000e+00	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
1.000000000000000e-03	1.000000e-03	5.000000e-01	-9.730920e-07	0.000000e+00	-1.379256e-15	9.730920e-07	0.000000e+00	-9.730920e-07
2.000000000000000e-03	2.000000e-03	5.000000e-01	-1.933867e-06	0.000000e+00	-2.744129e-15	1.933867e-06	0.000000e+00	-1.933867e-06
3.000000000000000e-03	3.000000e-03	5.000000e-01	-2.882344e-06	0.000000e+00	-4.095163e-15	2.882344e-06	0.000000e+00	-2.882344e-06
4.000000000000000e-03	4.000000e-03	5.000000e-01	-3.818543e-06	0.000000e+00	-5.432885e-15	3.818543e-06	0.000000e+00	-3.818543e-06
5.000000000000000e-03	5.000000e-03	5.000000e-01	-4.742483e-06	0.000000e+00	-6.757797e-15	4.742483e-06	0.000000e+00	-4.742483e-06
6.000000000000000e-03	6.000000e-03	5.000000e-01	-5.654186e-06	0.000000e+00	-8.070388e-15	5.654186e-06	0.000000e+00	-5.654186e-06
7.000000000000000e-03	7.000000e-03	5.000000e-01	-6.553674e-06	0.000000e+00	-9.371124e-15	6.553674e-06	0.000000e+00	-6.553674e-06
8.000000000000000e-03	8.000000e-03	5.000000e-01	-7.440969e-06	0.000000e+00	-1.066045e-14	7.440969e-06	0.000000e+00	-7.440969e-06
9.000000000000001e-03	9.000000e-03	5.000000e-01	-8.316093e-06	0.000000e+00	-1.193881e-14	8.316093e-06	0.000000e+00	-8.316093e-06
1.000000000000000e-02	1.000000e-02	5.000000e-01	-9.179072e-06	0.000000e+00	-1.320661e-14	9.179072e-06	0.000000e+00	-9.179072e-06
1.100000000000000e-02	1.100000e-02	5.000000e-01	-1.002993e-05	0.000000e+00	-1.446425e-14	1.002993e-05	0.000000e+00	-1.002993e-05
1.200000000000000e-02	1.200000e-02	5.000000e-01	-1.086869e-05	0.000000e+00	-1.571213e-14	1.086869e-05	0.000000e+00	-1.086869e-05
1.300000000000000e-02	1.300000e-02	5.000000e-01	-1.169538e-05	0.000000e+00	-1.695060e-14	1.169538e-05	0.000000e+00	-1.169538e-05
1.400000000000001e-02	1.400000e-02	5.000000e-01	-1.251003e-05	0.000000e+00	-1.818002e-14	1.251003e-05	0.000000e+00	-1.251003e-05
1.500000000000001e-02	1.500000e-02	5.000000e-01	-1.331267e-05	0.000000e+00	-1.940075e-14	1.331267e-05	0.000000e+00	-1.331267e-05
1.600000000000001e-02	1.600000e-02	5.000000e-01	-1.410332e-05	0.000000e+00	-2.061311e-14	1.410332e-05	0.000000e+00	-1.410332e-05
1.700000000000001e-02	1.700000e-02	5.000000e-01	-1.488202e-05	0.000000e+00	-2.181741e-14	1.488202e-05	0.000000e+00	-1.488202e-05
