L,Id1n,Id2n,Id0n,routn,lambdan,Id1p,Id2p,Id0p,routp,lambdap
0.20,1.24E-05,1.59E-05,1.41E-05,224534,0.315536,4.95E-06,3.71E-06,4.32E-06,643338,0.359405
0.30,1.12E-05,1.30E-05,1.21E-05,432993,0.190693,4.85E-06,3.87E-06,4.36E-06,821159,0.279507
0.40,1.23E-05,1.38E-05,1.31E-05,540795,0.141448,4.84E-06,4.02E-06,4.42E-06,973491,0.232162
0.50,1.39E-05,1.53E-05,1.46E-05,577448,0.118405,4.91E-06,4.18E-06,4.55E-06,1.10E+06,0.199965
0.60,1.55E-05,1.68E-05,1.62E-05,592080,0.104443,5.02E-06,4.35E-06,4.68E-06,1.21E+06,0.176551
0.70,1.69E-05,1.82E-05,1.75E-05,603839,0.0943791,5.12E-06,4.51E-06,4.82E-06,1.31E+06,0.158753
0.80,1.81E-05,1.94E-05,1.87E-05,617669,0.0864604,5.23E-06,4.65E-06,4.94E-06,1.40E+06,0.144768
0.90,1.91E-05,2.03E-05,1.97E-05,634348,0.0799399,5.32E-06,4.78E-06,5.05E-06,1.48E+06,0.133487
1.00,1.99E-05,2.12E-05,2.06E-05,653641,0.0744184,5.40E-06,4.89E-06,5.14E-06,1.57E+06,0.124192
1.10,2.07E-05,2.18E-05,2.13E-05,675159,0.0696484,5.47E-06,4.99E-06,5.23E-06,1.64E+06,0.116397
1.20,2.13E-05,2.24E-05,2.19E-05,698553,0.0654639,5.53E-06,5.07E-06,5.30E-06,1.72E+06,0.109762
1.30,2.18E-05,2.29E-05,2.24E-05,723540,0.0617483,5.59E-06,5.14E-06,5.37E-06,1.79E+06,0.104043
1.40,2.23E-05,2.33E-05,2.28E-05,749906,0.0584168,5.64E-06,5.21E-06,5.42E-06,1.86E+06,0.0990601
1.50,2.27E-05,2.37E-05,2.32E-05,777478,0.0554061,5.68E-06,5.27E-06,5.47E-06,1.93E+06,0.0946757
1.60,2.30E-05,2.40E-05,2.36E-05,806123,0.052668,5.72E-06,5.32E-06,5.52E-06,2.00E+06,0.0907858
1.70,2.34E-05,2.43E-05,2.39E-05,835728,0.0501648,5.75E-06,5.36E-06,5.56E-06,2.06E+06,0.0873088
1.80,2.36E-05,2.46E-05,2.41E-05,866204,0.0478661,5.78E-06,5.40E-06,5.59E-06,2.12E+06,0.0841799
1.90,2.39E-05,2.48E-05,2.44E-05,897465,0.0457478,5.81E-06,5.44E-06,5.62E-06,2.19E+06,0.0813477
2.00,2.41E-05,2.50E-05,2.46E-05,929444,0.0437895,5.83E-06,5.48E-06,5.65E-06,2.25E+06,0.0787697
2.10,2.43E-05,2.52E-05,2.48E-05,962074,0.0419743,5.85E-06,5.51E-06,5.68E-06,2.30E+06,0.0764119
2.20,2.45E-05,2.53E-05,2.49E-05,995297,0.040288,5.87E-06,5.53E-06,5.70E-06,2.36E+06,0.0742457
2.30,2.47E-05,2.55E-05,2.51E-05,1.03E+06,0.0387179,5.89E-06,5.56E-06,5.72E-06,2.42E+06,0.0722473
2.40,2.49E-05,2.56E-05,2.52E-05,1.06E+06,0.0372538,5.91E-06,5.58E-06,5.74E-06,2.47E+06,0.0703968
2.50,2.50E-05,2.57E-05,2.54E-05,1.10E+06,0.035886,5.92E-06,5.60E-06,5.76E-06,2.53E+06,0.0686774
2.60,2.51E-05,2.58E-05,2.55E-05,1.13E+06,0.0346064,5.93E-06,5.62E-06,5.78E-06,2.58E+06,0.0670747
2.70,2.53E-05,2.59E-05,2.56E-05,1.17E+06,0.0334075,5.95E-06,5.64E-06,5.79E-06,2.63E+06,0.0655762
2.80,2.54E-05,2.60E-05,2.57E-05,1.20E+06,0.0322832,5.96E-06,5.66E-06,5.81E-06,2.68E+06,0.0641712
2.90,2.55E-05,2.61E-05,2.58E-05,1.24E+06,0.0312273,5.97E-06,5.67E-06,5.82E-06,2.73E+06,0.0628507
3.00,2.56E-05,2.62E-05,2.59E-05,1.28E+06,0.0302347,5.98E-06,5.69E-06,5.83E-06,2.78E+06,0.0616066
3.10,2.57E-05,2.63E-05,2.60E-05,1.31E+06,0.0293006,5.99E-06,5.70E-06,5.84E-06,2.83E+06,0.0604316
3.20,2.58E-05,2.64E-05,2.61E-05,1.35E+06,0.0284207,5.99E-06,5.72E-06,5.86E-06,2.88E+06,0.0593197
3.30,2.59E-05,2.64E-05,2.62E-05,1.39E+06,0.0275911,6.00E-06,5.73E-06,5.87E-06,2.93E+06,0.0582655
3.40,2.59E-05,2.65E-05,2.62E-05,1.42E+06,0.0268082,6.01E-06,5.74E-06,5.87E-06,2.97E+06,0.057264
3.50,2.60E-05,2.66E-05,2.63E-05,1.46E+06,0.0260687,6.02E-06,5.75E-06,5.88E-06,3.02E+06,0.056311
3.60,2.61E-05,2.66E-05,2.64E-05,1.50E+06,0.0253697,6.02E-06,5.76E-06,5.89E-06,3.06E+06,0.0554026
3.70,2.62E-05,2.67E-05,2.64E-05,1.53E+06,0.0247084,6.03E-06,5.77E-06,5.90E-06,3.11E+06,0.0545354
3.80,2.62E-05,2.67E-05,2.65E-05,1.57E+06,0.0240823,6.03E-06,5.78E-06,5.91E-06,3.15E+06,0.0537061
3.90,2.63E-05,2.68E-05,2.65E-05,1.60E+06,0.023489,6.04E-06,5.79E-06,5.91E-06,3.20E+06,0.0529122
4.00,2.63E-05,2.68E-05,2.66E-05,1.64E+06,0.0229264,6.04E-06,5.80E-06,5.92E-06,3.24E+06,0.0521509
4.10,2.64E-05,2.69E-05,2.66E-05,1.68E+06,0.0223925,6.05E-06,5.80E-06,5.93E-06,3.28E+06,0.0514202
4.20,2.64E-05,2.69E-05,2.67E-05,1.71E+06,0.0218855,6.05E-06,5.81E-06,5.93E-06,3.32E+06,0.0507179
4.30,2.65E-05,2.70E-05,2.67E-05,1.75E+06,0.0214037,6.06E-06,5.82E-06,5.94E-06,3.37E+06,0.0500421
4.40,2.65E-05,2.70E-05,2.68E-05,1.78E+06,0.0209456,6.06E-06,5.82E-06,5.94E-06,3.41E+06,0.049391
4.50,2.66E-05,2.70E-05,2.68E-05,1.82E+06,0.0205095,6.06E-06,5.83E-06,5.95E-06,3.45E+06,0.0487633
4.60,2.66E-05,2.71E-05,2.69E-05,1.85E+06,0.0200943,6.07E-06,5.84E-06,5.95E-06,3.49E+06,0.0481573
4.70,2.67E-05,2.71E-05,2.69E-05,1.89E+06,0.0196987,6.07E-06,5.84E-06,5.96E-06,3.53E+06,0.0475719
4.80,2.67E-05,2.71E-05,2.69E-05,1.92E+06,0.0193213,6.07E-06,5.85E-06,5.96E-06,3.57E+06,0.0470056
4.90,2.68E-05,2.72E-05,2.70E-05,1.96E+06,0.0189613,6.08E-06,5.85E-06,5.97E-06,3.61E+06,0.0464577
5.00,2.68E-05,2.72E-05,2.70E-05,1.99E+06,0.0186175,6.08E-06,5.86E-06,5.97E-06,3.65E+06,0.0459268
5.10,2.68E-05,2.72E-05,2.70E-05,2.02E+06,0.0182892,6.08E-06,5.86E-06,5.97E-06,3.69E+06,0.0454121
5.20,2.69E-05,2.73E-05,2.71E-05,2.06E+06,0.0179751,6.08E-06,5.87E-06,5.98E-06,3.73E+06,0.0449127
5.30,2.69E-05,2.73E-05,2.71E-05,2.09E+06,0.0176747,6.09E-06,5.87E-06,5.98E-06,3.76E+06,0.0444278
5.40,2.69E-05,2.73E-05,2.71E-05,2.12E+06,0.0173872,6.09E-06,5.88E-06,5.98E-06,3.80E+06,0.0439567
5.50,2.70E-05,2.73E-05,2.72E-05,2.15E+06,0.0171117,6.09E-06,5.88E-06,5.99E-06,3.84E+06,0.0434987
5.60,2.70E-05,2.74E-05,2.72E-05,2.18E+06,0.0168478,6.09E-06,5.89E-06,5.99E-06,3.88E+06,0.043053
5.70,2.70E-05,2.74E-05,2.72E-05,2.21E+06,0.0165946,6.09E-06,5.89E-06,5.99E-06,3.92E+06,0.042619
5.80,2.70E-05,2.74E-05,2.72E-05,2.25E+06,0.0163518,6.10E-06,5.89E-06,6.00E-06,3.95E+06,0.0421964
5.90,2.71E-05,2.74E-05,2.73E-05,2.28E+06,0.0161185,6.10E-06,5.90E-06,6.00E-06,3.99E+06,0.0417845
