vcc	V(u_out)
1.000000000000000e+00	7.557052e-01
1.001000000000000e+00	7.563381e-01
1.002000000000000e+00	7.567970e-01
1.003000000000000e+00	7.576532e-01
1.004000000000000e+00	7.582602e-01
1.004999999999999e+00	7.578627e-01
1.005999999999999e+00	7.593867e-01
1.006999999999999e+00	7.599337e-01
1.007999999999999e+00	7.604330e-01
1.008999999999999e+00	7.602274e-01
1.009999999999999e+00	7.617241e-01
1.010999999999999e+00	7.615533e-01
1.011999999999999e+00	7.630896e-01
1.012999999999999e+00	7.627366e-01
1.013999999999998e+00	7.641245e-01
1.014999999999998e+00	7.637595e-01
1.015999999999998e+00	7.652664e-01
1.016999999999998e+00	7.651618e-01
1.017999999999998e+00	7.656800e-01
1.018999999999998e+00	7.662349e-01
1.019999999999998e+00	7.668446e-01
1.020999999999998e+00	7.671801e-01
1.021999999999998e+00	7.679681e-01
1.022999999999997e+00	7.692437e-01
1.023999999999997e+00	7.698921e-01
1.024999999999997e+00	7.697094e-01
1.025999999999997e+00	7.699750e-01
1.026999999999997e+00	7.706007e-01
1.027999999999997e+00	7.711723e-01
1.028999999999997e+00	7.716420e-01
1.029999999999997e+00	7.724231e-01
1.030999999999997e+00	7.736742e-01
1.031999999999996e+00	7.733986e-01
1.032999999999996e+00	7.739429e-01
1.033999999999996e+00	7.744274e-01
1.034999999999996e+00	7.750271e-01
1.035999999999996e+00	7.756739e-01
1.036999999999996e+00	7.760195e-01
1.037999999999996e+00	7.764970e-01
1.038999999999996e+00	7.772059e-01
1.039999999999996e+00	7.775561e-01
1.040999999999995e+00	7.780699e-01
1.041999999999995e+00	7.777792e-01
1.042999999999995e+00	7.785417e-01
1.043999999999995e+00	7.781612e-01
1.044999999999995e+00	7.792557e-01
1.045999999999995e+00	7.800582e-01
1.046999999999995e+00	7.803361e-01
1.047999999999995e+00	7.807965e-01
1.048999999999995e+00	7.814780e-01
1.049999999999994e+00	7.819537e-01
1.050999999999994e+00	7.823784e-01
1.051999999999994e+00	7.836266e-01
1.052999999999994e+00	7.841346e-01
1.053999999999994e+00	7.838691e-01
1.054999999999994e+00	7.851617e-01
1.055999999999994e+00	7.849850e-01
1.056999999999994e+00	7.853401e-01
1.057999999999994e+00	7.866243e-01
1.058999999999994e+00	7.864552e-01
1.059999999999993e+00	7.869255e-01
1.060999999999993e+00	7.874264e-01
1.061999999999993e+00	7.878008e-01
1.062999999999993e+00	7.891957e-01
1.063999999999993e+00	7.896413e-01
1.064999999999993e+00	7.900998e-01
1.065999999999993e+00	7.905708e-01
1.066999999999993e+00	7.910770e-01
1.067999999999993e+00	7.908760e-01
1.068999999999992e+00	7.918621e-01
1.069999999999992e+00	7.922858e-01
1.070999999999992e+00	7.929257e-01
1.071999999999992e+00	7.941034e-01
1.072999999999992e+00	7.939522e-01
1.073999999999992e+00	7.942929e-01
1.074999999999992e+00	7.953445e-01
1.075999999999992e+00	7.959194e-01
1.076999999999992e+00	7.963258e-01
1.077999999999991e+00	7.960923e-01
1.078999999999991e+00	7.972314e-01
1.079999999999991e+00	7.977555e-01
1.080999999999991e+00	7.980203e-01
1.081999999999991e+00	7.987729e-01
1.082999999999991e+00	7.990549e-01
1.083999999999991e+00	7.994686e-01
1.084999999999991e+00	8.006699e-01
1.085999999999991e+00	8.010548e-01
1.086999999999990e+00	8.015255e-01
1.087999999999990e+00	8.020042e-01
1.088999999999990e+00	8.017281e-01
1.089999999999990e+00	8.027402e-01
1.090999999999990e+00	8.033165e-01
1.091999999999990e+00	8.037642e-01
1.092999999999990e+00	8.043129e-01
1.093999999999990e+00	8.045294e-01
1.094999999999990e+00	8.051688e-01
1.095999999999989e+00	8.060893e-01
1.096999999999989e+00	8.065761e-01
1.097999999999989e+00	8.068633e-01
1.098999999999989e+00	8.066963e-01
1.099999999999989e+00	8.079165e-01
1.100999999999989e+00	8.082791e-01
1.101999999999989e+00	8.085991e-01
1.102999999999989e+00	8.090287e-01
1.103999999999989e+00	8.093827e-01
1.104999999999988e+00	8.093985e-01
1.105999999999988e+00	8.102113e-01
1.106999999999988e+00	8.107373e-01
1.107999999999988e+00	8.110371e-01
1.108999999999988e+00	8.121318e-01
1.109999999999988e+00	8.127478e-01
1.110999999999988e+00	8.124194e-01
1.111999999999988e+00	8.127948e-01
1.112999999999988e+00	8.138914e-01
1.113999999999987e+00	8.143064e-01
1.114999999999987e+00	8.147826e-01
1.115999999999987e+00	8.152241e-01
1.116999999999987e+00	8.156541e-01
1.117999999999987e+00	8.164246e-01
1.118999999999987e+00	8.164380e-01
1.119999999999987e+00	8.171928e-01
1.120999999999987e+00	8.171075e-01
1.121999999999987e+00	8.180638e-01
1.122999999999986e+00	8.186983e-01
1.123999999999986e+00	8.188564e-01
1.124999999999986e+00	8.192593e-01
1.125999999999986e+00	8.203190e-01
1.126999999999986e+00	8.201358e-01
1.127999999999986e+00	8.212739e-01
1.128999999999986e+00	8.216448e-01
1.129999999999986e+00	8.213381e-01
1.130999999999986e+00	8.218191e-01
1.131999999999985e+00	8.226879e-01
1.132999999999985e+00	8.232040e-01
1.133999999999985e+00	8.241305e-01
1.134999999999985e+00	8.245744e-01
1.135999999999985e+00	8.248212e-01
1.136999999999985e+00	8.246508e-01
1.137999999999985e+00	8.257670e-01
1.138999999999985e+00	8.261033e-01
1.139999999999985e+00	8.264390e-01
1.140999999999984e+00	8.266832e-01
1.141999999999984e+00	8.271090e-01
1.142999999999984e+00	8.282101e-01
1.143999999999984e+00	8.279697e-01
1.144999999999984e+00	8.288962e-01
1.145999999999984e+00	8.288873e-01
1.146999999999984e+00	8.296130e-01
1.147999999999984e+00	8.296418e-01
1.148999999999984e+00	8.304704e-01
1.149999999999983e+00	8.310047e-01
1.150999999999983e+00	8.316891e-01
1.151999999999983e+00	8.315448e-01
1.152999999999983e+00	8.326256e-01
1.153999999999983e+00	8.328574e-01
1.154999999999983e+00	8.338019e-01
1.155999999999983e+00	8.337638e-01
1.156999999999983e+00	8.342267e-01
1.157999999999983e+00	8.343890e-01
1.158999999999982e+00	8.348448e-01
1.159999999999982e+00	8.350974e-01
1.160999999999982e+00	8.361222e-01
1.161999999999982e+00	8.365355e-01
1.162999999999982e+00	8.363660e-01
1.163999999999982e+00	8.367844e-01
1.164999999999982e+00	8.369679e-01
1.165999999999982e+00	8.374370e-01
1.166999999999982e+00	8.370542e-01
1.167999999999981e+00	8.374924e-01
1.168999999999981e+00	8.379872e-01
1.169999999999981e+00	8.388998e-01
1.170999999999981e+00	8.386924e-01
1.171999999999981e+00	8.401311e-01
1.172999999999981e+00	8.399425e-01
1.173999999999981e+00	8.409438e-01
1.174999999999981e+00	8.405895e-01
1.175999999999981e+00	8.411000e-01
1.176999999999981e+00	8.420231e-01
1.177999999999980e+00	8.418736e-01
1.178999999999980e+00	8.427680e-01
1.179999999999980e+00	8.425839e-01
1.180999999999980e+00	8.433830e-01
1.181999999999980e+00	8.438421e-01
1.182999999999980e+00	8.446177e-01
1.183999999999980e+00	8.449028e-01
1.184999999999980e+00	8.455486e-01
1.185999999999980e+00	8.458764e-01
1.186999999999979e+00	8.455559e-01
1.187999999999979e+00	8.464635e-01
1.188999999999979e+00	8.472675e-01
1.189999999999979e+00	8.478328e-01
1.190999999999979e+00	8.480849e-01
1.191999999999979e+00	8.480361e-01
1.192999999999979e+00	8.482569e-01
1.193999999999979e+00	8.492861e-01
1.194999999999979e+00	8.496067e-01
1.195999999999978e+00	8.499737e-01
1.196999999999978e+00	8.502761e-01
1.197999999999978e+00	8.505161e-01
1.198999999999978e+00	8.514591e-01
1.199999999999978e+00	8.512411e-01
1.200999999999978e+00	8.521353e-01
1.201999999999978e+00	8.526669e-01
1.202999999999978e+00	8.529642e-01
1.203999999999978e+00	8.532345e-01
1.204999999999977e+00	8.536541e-01
1.205999999999977e+00	8.544363e-01
1.206999999999977e+00	8.548005e-01
1.207999999999977e+00	8.546833e-01
1.208999999999977e+00	8.555903e-01
1.209999999999977e+00	8.554528e-01
1.210999999999977e+00	8.567117e-01
1.211999999999977e+00	8.567660e-01
1.212999999999977e+00	8.565337e-01
1.213999999999976e+00	8.572748e-01
1.214999999999976e+00	8.576393e-01
1.215999999999976e+00	8.580042e-01
1.216999999999976e+00	8.584075e-01
1.217999999999976e+00	8.586409e-01
1.218999999999976e+00	8.596321e-01
1.219999999999976e+00	8.598345e-01
1.220999999999976e+00	8.606474e-01
1.221999999999976e+00	8.605896e-01
1.222999999999975e+00	8.614135e-01
1.223999999999975e+00	8.618718e-01
1.224999999999975e+00	8.615715e-01
1.225999999999975e+00	8.619897e-01
1.226999999999975e+00	8.629619e-01
1.227999999999975e+00	8.632037e-01
1.228999999999975e+00	8.635740e-01
1.229999999999975e+00	8.640209e-01
1.230999999999975e+00	8.638301e-01
1.231999999999974e+00	8.649718e-01
1.232999999999974e+00	8.648427e-01
1.233999999999974e+00	8.657462e-01
1.234999999999974e+00	8.657405e-01
1.235999999999974e+00	8.663674e-01
1.236999999999974e+00	8.672352e-01
1.237999999999974e+00	8.667654e-01
1.238999999999974e+00	8.670744e-01
1.239999999999974e+00	8.679124e-01
1.240999999999973e+00	8.682648e-01
1.241999999999973e+00	8.684941e-01
1.242999999999973e+00	8.692177e-01
1.243999999999973e+00	8.692821e-01
1.244999999999973e+00	8.700094e-01
1.245999999999973e+00	8.703169e-01
1.246999999999973e+00	8.703625e-01
1.247999999999973e+00	8.711602e-01
1.248999999999973e+00	8.719556e-01
1.249999999999972e+00	8.721628e-01
1.250999999999972e+00	8.721664e-01
1.251999999999972e+00	8.724638e-01
1.252999999999972e+00	8.727215e-01
1.253999999999972e+00	8.736095e-01
1.254999999999972e+00	8.734245e-01
1.255999999999972e+00	8.742439e-01
1.256999999999972e+00	8.741280e-01
1.257999999999972e+00	8.746058e-01
1.258999999999971e+00	8.752393e-01
1.259999999999971e+00	8.752420e-01
1.260999999999971e+00	8.765580e-01
1.261999999999971e+00	8.767692e-01
1.262999999999971e+00	8.766648e-01
1.263999999999971e+00	8.771927e-01
1.264999999999971e+00	8.774329e-01
