vcc	V(u_out)
1.000000000000000e+00	8.705331e-01
1.001000000000000e+00	8.713455e-01
1.002000000000000e+00	8.731479e-01
1.003000000000000e+00	8.738270e-01
1.004000000000000e+00	8.741136e-01
1.004999999999999e+00	8.750009e-01
1.005999999999999e+00	8.746213e-01
1.006999999999999e+00	8.761204e-01
1.007999999999999e+00	8.772328e-01
1.008999999999999e+00	8.769727e-01
1.009999999999999e+00	8.776944e-01
1.010999999999999e+00	8.783582e-01
1.011999999999999e+00	8.792300e-01
1.012999999999999e+00	8.804164e-01
1.013999999999998e+00	8.808558e-01
1.014999999999998e+00	8.816963e-01
1.015999999999998e+00	8.820013e-01
1.016999999999998e+00	8.827214e-01
1.017999999999998e+00	8.832366e-01
1.018999999999998e+00	8.841236e-01
1.019999999999998e+00	8.848087e-01
1.020999999999998e+00	8.852500e-01
1.021999999999998e+00	8.854277e-01
1.022999999999997e+00	8.857950e-01
1.023999999999997e+00	8.861740e-01
1.024999999999997e+00	8.872212e-01
1.025999999999997e+00	8.876797e-01
1.026999999999997e+00	8.878078e-01
1.027999999999997e+00	8.897710e-01
1.028999999999997e+00	8.895272e-01
1.029999999999997e+00	8.896046e-01
1.030999999999997e+00	8.899823e-01
1.031999999999996e+00	8.919249e-01
1.032999999999996e+00	8.924339e-01
1.033999999999996e+00	8.930379e-01
1.034999999999996e+00	8.930679e-01
1.035999999999996e+00	8.943573e-01
1.036999999999996e+00	8.956739e-01
1.037999999999996e+00	8.948844e-01
1.038999999999996e+00	8.960472e-01
1.039999999999996e+00	8.966761e-01
1.040999999999995e+00	8.979502e-01
1.041999999999995e+00	8.984250e-01
1.042999999999995e+00	8.992011e-01
1.043999999999995e+00	8.993539e-01
1.044999999999995e+00	8.994407e-01
1.045999999999995e+00	9.001286e-01
1.046999999999995e+00	9.015536e-01
1.047999999999995e+00	9.017795e-01
1.048999999999995e+00	9.026123e-01
1.049999999999994e+00	9.033539e-01
1.050999999999994e+00	9.040244e-01
1.051999999999994e+00	9.050621e-01
1.052999999999994e+00	9.056348e-01
1.053999999999994e+00	9.061249e-01
1.054999999999994e+00	9.068629e-01
1.055999999999994e+00	9.073790e-01
1.056999999999994e+00	9.073484e-01
1.057999999999994e+00	9.085386e-01
1.058999999999994e+00	9.085701e-01
1.059999999999993e+00	9.095055e-01
1.060999999999993e+00	9.109270e-01
1.061999999999993e+00	9.105534e-01
1.062999999999993e+00	9.117433e-01
1.063999999999993e+00	9.113990e-01
1.064999999999993e+00	9.127491e-01
1.065999999999993e+00	9.134322e-01
1.066999999999993e+00	9.141431e-01
1.067999999999993e+00	9.145179e-01
1.068999999999992e+00	9.146413e-01
1.069999999999992e+00	9.148204e-01
1.070999999999992e+00	9.158802e-01
1.071999999999992e+00	9.175115e-01
1.072999999999992e+00	9.172980e-01
1.073999999999992e+00	9.163798e-01
1.074999999999992e+00	9.189735e-01
1.075999999999992e+00	9.178557e-01
1.076999999999992e+00	9.199348e-01
1.077999999999991e+00	9.200161e-01
1.078999999999991e+00	9.199387e-01
1.079999999999991e+00	9.209866e-01
1.080999999999991e+00	9.221828e-01
1.081999999999991e+00	9.220303e-01
1.082999999999991e+00	9.223990e-01
1.083999999999991e+00	9.240331e-01
1.084999999999991e+00	9.242442e-01
1.085999999999991e+00	9.240996e-01
1.086999999999990e+00	9.250758e-01
1.087999999999990e+00	9.254200e-01
1.088999999999990e+00	9.257264e-01
1.089999999999990e+00	9.269222e-01
1.090999999999990e+00	9.280775e-01
1.091999999999990e+00	9.280875e-01
1.092999999999990e+00	9.286557e-01
1.093999999999990e+00	9.280058e-01
1.094999999999990e+00	9.286351e-01
1.095999999999989e+00	9.298195e-01
1.096999999999989e+00	9.297033e-01
1.097999999999989e+00	9.304269e-01
1.098999999999989e+00	9.318165e-01
1.099999999999989e+00	9.325441e-01
1.100999999999989e+00	9.330568e-01
1.101999999999989e+00	9.337418e-01
1.102999999999989e+00	9.330323e-01
1.103999999999989e+00	9.344541e-01
1.104999999999988e+00	9.344558e-01
1.105999999999988e+00	9.353880e-01
1.106999999999988e+00	9.353038e-01
1.107999999999988e+00	9.363188e-01
1.108999999999988e+00	9.370117e-01
1.109999999999988e+00	9.372568e-01
1.110999999999988e+00	9.369797e-01
1.111999999999988e+00	9.382293e-01
1.112999999999988e+00	9.395265e-01
1.113999999999987e+00	9.388570e-01
1.114999999999987e+00	9.393089e-01
1.115999999999987e+00	9.414555e-01
1.116999999999987e+00	9.407735e-01
1.117999999999987e+00	9.417818e-01
1.118999999999987e+00	9.424016e-01
1.119999999999987e+00	9.423904e-01
