time	V(u_in)	V(u_out)
0.000000000000000e+00	0.000000e+00	1.799998e+00
2.500000000000000e-06	0.000000e+00	1.799998e+00
2.500028246266898e-06	5.084328e-02	1.800159e+00
2.500084738800693e-06	1.525298e-01	1.800543e+00
2.500197723868284e-06	3.559030e-01	1.802093e+00
2.500268243901672e-06	4.828390e-01	1.804163e+00
2.500345584698591e-06	6.220524e-01	1.806953e+00
2.500430480988681e-06	7.748658e-01	1.808756e+00
2.500521415679304e-06	9.385482e-01	1.806841e+00
2.500703285060551e-06	1.265913e+00	1.785624e+00
2.501000000000000e-06	1.800000e+00	1.722023e+00
2.501029671493945e-06	1.800000e+00	1.709637e+00
2.501089014481835e-06	1.800000e+00	1.684885e+00
2.501445072409173e-06	1.800000e+00	1.537033e+00
2.501919816312291e-06	1.800000e+00	1.342756e+00
2.502869304118528e-06	1.800000e+00	9.771359e-01
2.504108330802284e-06	1.800000e+00	5.800514e-01
2.505410637550838e-06	1.800000e+00	2.963522e-01
2.506769320610557e-06	1.800000e+00	1.278406e-01
2.507413630486316e-06	1.800000e+00	8.603070e-02
2.508055571510027e-06	1.800000e+00	6.442546e-02
2.508842417011859e-06	1.800000e+00	4.835313e-02
2.509706097716126e-06	1.800000e+00	3.818247e-02
2.510624896934566e-06	1.800000e+00	3.243937e-02
2.511640240027684e-06	1.800000e+00	2.930920e-02
2.512841548271704e-06	1.800000e+00	2.764504e-02
2.514341778252073e-06	1.800000e+00	2.683936e-02
2.516319007167303e-06	1.800000e+00	2.651549e-02
2.519107041467758e-06	1.800000e+00	2.642133e-02
2.523487564837706e-06	1.800000e+00	2.640669e-02
7.500000000000001e-06	1.800000e+00	2.640676e-02
7.501000000000000e-06	1.800000e+00	2.640676e-02
7.501017890957246e-06	1.767796e+00	2.516239e-02
7.501053672871739e-06	1.703389e+00	2.273146e-02
7.501125236700725e-06	1.574574e+00	1.812512e-02
7.501268364358696e-06	1.316944e+00	9.662835e-03
7.501525840333233e-06	8.534874e-01	-4.320777e-03
7.501738997470341e-06	4.698046e-01	-1.426128e-02
7.501840178009121e-06	2.876796e-01	-1.689334e-02
7.501881583735876e-06	2.131493e-01	-1.686192e-02
7.501917188546488e-06	1.490606e-01	-1.638532e-02
7.501928790378776e-06	1.281773e-01	-1.622033e-02
7.501935530818355e-06	1.160445e-01	-1.612355e-02
7.501942271257934e-06	1.039117e-01	-1.602669e-02
7.501949011697513e-06	9.177894e-02	-1.592976e-02
7.501955752137092e-06	7.964615e-02	-1.583275e-02
7.501962492576671e-06	6.751336e-02	-1.573566e-02
7.501969233016250e-06	5.538057e-02	-1.563849e-02
7.501975973455829e-06	4.324778e-02	-1.554124e-02
7.501999999999999e-06	0.000000e+00	-1.519476e-02
7.502002402654416e-06	0.000000e+00	-1.514646e-02
7.502007207963250e-06	0.000000e+00	-1.504986e-02
7.502357309035437e-06	0.000000e+00	-8.029113e-03
7.502707410107623e-06	0.000000e+00	-1.041816e-03
7.503057511179810e-06	0.000000e+00	5.912035e-03
7.503407612251996e-06	0.000000e+00	1.283244e-02
7.503757713324183e-06	0.000000e+00	1.971940e-02
7.504107814396369e-06	0.000000e+00	2.657292e-02
7.504457915468556e-06	0.000000e+00	3.339298e-02
7.506918233591529e-06	0.000000e+00	8.041552e-02
7.511838869837476e-06	0.000000e+00	1.699056e-01
7.521604494837476e-06	0.000000e+00	3.349919e-01
7.531370119837475e-06	0.000000e+00	4.853233e-01
7.541135744837475e-06	0.000000e+00	6.202286e-01
7.550901369837474e-06	0.000000e+00	7.412905e-01
7.560666994837474e-06	0.000000e+00	8.499297e-01
7.570432619837474e-06	0.000000e+00	9.474208e-01
7.580198244837473e-06	0.000000e+00	1.034908e+00
7.589963869837473e-06	0.000000e+00	1.113418e+00
7.599729494837472e-06	0.000000e+00	1.183871e+00
7.609495119837472e-06	0.000000e+00	1.247095e+00
7.619260744837472e-06	0.000000e+00	1.303831e+00
7.629026369837471e-06	0.000000e+00	1.354745e+00
7.638791994837472e-06	0.000000e+00	1.400435e+00
