f	Au	phase
1.00000000000000e+03	1.87546727678996e+01	1.79968660410754e+02
1.04712854805090e+03	1.87546726433540e+01	1.79967183421728e+02
1.09647819614319e+03	1.87546725067925e+01	1.79965636824402e+02
1.14815362149688e+03	1.87546723570558e+01	1.79964017338241e+02
1.20226443461741e+03	1.87546721928727e+01	1.79962321528111e+02
1.25892541179417e+03	1.87546720128496e+01	1.79960545796981e+02
1.31825673855641e+03	1.87546718154582e+01	1.79958686378303e+02
1.38038426460289e+03	1.87546715990228e+01	1.79956739328014e+02
1.44543977074593e+03	1.87546713617061e+01	1.79954700516178e+02
1.51356124843621e+03	1.87546711014936e+01	1.79952565618222e+02
1.58489319246111e+03	1.87546708161762e+01	1.79950330105765e+02
1.65958690743756e+03	1.87546705033320e+01	1.79947989237013e+02
1.73780082874938e+03	1.87546701603052e+01	1.79945538046700e+02
1.81970085860999e+03	1.87546697841837e+01	1.79942971335558e+02
1.90546071796325e+03	1.87546693717748e+01	1.79940283659289e+02
1.99526231496888e+03	1.87546689195775e+01	1.79937469317020e+02
2.08929613085404e+03	1.87546684237530e+01	1.79934522339206e+02
2.18776162394956e+03	1.87546678800924e+01	1.79931436474975e+02
2.29086765276778e+03	1.87546672839804e+01	1.79928205178865e+02
2.39883291901949e+03	1.87546666303567e+01	1.79924821596947e+02
2.51188643150958e+03	1.87546659136727e+01	1.79921278552283e+02
2.63026799189539e+03	1.87546651278445e+01	1.79917568529707e+02
2.75422870333817e+03	1.87546642662011e+01	1.79913683659888e+02
2.88403150312661e+03	1.87546633214281e+01	1.79909615702639e+02
3.01995172040202e+03	1.87546622855054e+01	1.79905356029438e+02
3.16227766016838e+03	1.87546611496390e+01	1.79900895605136e+02
3.31131121482592e+03	1.87546599041866e+01	1.79896224968789e+02
3.46736850452532e+03	1.87546585385756e+01	1.79891334213597e+02
3.63078054770102e+03	1.87546570412134e+01	1.79886212965896e+02
3.80189396320562e+03	1.87546553993890e+01	1.79880850363157e+02
3.98107170553498e+03	1.87546535991651e+01	1.79875235030955e+02
4.16869383470336e+03	1.87546516252596e+01	1.79869355058846e+02
4.36515832240167e+03	1.87546494609164e+01	1.79863197975111e+02
4.57088189614876e+03	1.87546470877625e+01	1.79856750720316e+02
4.78630092322639e+03	1.87546444856524e+01	1.79849999619616e+02
5.01187233627274e+03	1.87546416324973e+01	1.79842930353767e+02
5.24807460249774e+03	1.87546385040770e+01	1.79835527928761e+02
5.49540873857626e+03	1.87546350738350e+01	1.79827776644045e+02
5.75439937337158e+03	1.87546313126525e+01	1.79819660059231e+02
6.02559586074359e+03	1.87546271886017e+01	1.79811160959248e+02
6.30957344480195e+03	1.87546226666744e+01	1.79802261317850e+02
6.60693448007598e+03	1.87546177084852e+01	1.79792942259409e+02
6.91830970918938e+03	1.87546122719452e+01	1.79783184018910e+02
7.24435960074992e+03	1.87546063109056e+01	1.79772965900066e+02
7.58577575029186e+03	1.87545997747650e+01	1.79762266231456e+02
7.94328234724284e+03	1.87545926080406e+01	1.79751062320612e+02
8.31763771102673e+03	1.87545847498972e+01	1.79739330405938e+02
8.70963589956083e+03	1.87545761336306e+01	1.79727045606377e+02
9.12010839355913e+03	1.87545666861018e+01	1.79714181868706e+02
9.54992586021439e+03	1.87545563271162e+01	1.79700711912361e+02
1.00000000000000e+04	1.87545449687426e+01	1.79686607171672e+02
1.04712854805090e+04	1.87545325145678e+01	1.79671837735379e+02
1.09647819614319e+04	1.87545188588778e+01	1.79656372283320e+02
1.14815362149689e+04	1.87545038857607e+01	1.79640178020146e+02
1.20226443461742e+04	1.87544874681237e+01	1.79623220605927e+02
1.25892541179417e+04	1.87544694666140e+01	1.79605464083507e+02
1.31825673855641e+04	1.87544497284369e+01	1.79586870802465e+02
1.38038426460289e+04	1.87544280860592e+01	1.79567401339505e+02
1.44543977074593e+04	1.87544043557878e+01	1.79547014415140e+02
1.51356124843621e+04	1.87543783362117e+01	1.79525666806464e+02
1.58489319246112e+04	1.87543498064931e+01	1.79503313255868e+02
1.65958690743757e+04	1.87543185244940e+01	1.79479906375494e+02
1.73780082874938e+04	1.87542842247231e+01	1.79455396547229e+02
1.81970085860999e+04	1.87542466160836e+01	1.79429731818057e+02
1.90546071796326e+04	1.87542053794046e+01	1.79402857790535e+02
1.99526231496889e+04	1.87541601647353e+01	1.79374717508196e+02
2.08929613085405e+04	1.87541105883774e+01	1.79345251335628e+02
2.18776162394956e+04	1.87540562296323e+01	1.79314396833012e+02
2.29086765276778e+04	1.87539966272355e+01	1.79282088624863e+02
2.39883291901950e+04	1.87539312754473e+01	1.79248258262712e+02
2.51188643150959e+04	1.87538596197666e+01	1.79212834081479e+02
2.63026799189540e+04	1.87537810522340e+01	1.79175741049252e+02
2.75422870333818e+04	1.87536949062813e+01	1.79136900610184e+02
2.88403150312662e+04	1.87536004510864e+01	1.79096230520225e+02
3.01995172040203e+04	1.87534968853860e+01	1.79053644675380e+02
3.16227766016840e+04	1.87533833306921e+01	1.79009052932172e+02
3.31131121482593e+04	1.87532588238588e+01	1.78962360920009e+02
3.46736850452534e+04	1.87531223089334e+01	1.78913469845097e+02
3.63078054770103e+04	1.87529726282264e+01	1.78862276285594e+02
3.80189396320563e+04	1.87528085125240e+01	1.78808671977623e+02
3.98107170553500e+04	1.87526285703628e+01	1.78752543591828e+02
4.16869383470338e+04	1.87524312762754e+01	1.78693772500091e+02
4.36515832240169e+04	1.87522149579116e+01	1.78632234532064e+02
4.57088189614878e+04	1.87519777819260e+01	1.78567799721149e+02
4.78630092322641e+04	1.87517177385159e+01	1.78500332039563e+02
5.01187233627276e+04	1.87514326244825e+01	1.78429689122143e+02
5.24807460249776e+04	1.87511200246739e+01	1.78355721978515e+02
5.49540873857628e+04	1.87507772916598e+01	1.78278274693305e+02
5.75439937337161e+04	1.87504015234684e+01	1.78197184114063e+02
6.02559586074362e+04	1.87499895392064e+01	1.78112279526568e+02
6.30957344480198e+04	1.87495378523622e+01	1.78023382317257e+02
6.60693448007601e+04	1.87490426415759e+01	1.77930305622507e+02
6.91830970918941e+04	1.87484997186415e+01	1.77832853964559e+02
7.24435960074995e+04	1.87479044934833e+01	1.77730822873923e+02
7.58577575029189e+04	1.87472519358284e+01	1.77623998498153e+02
7.94328234724287e+04	1.87465365332699e+01	1.77512157196961e+02
8.31763771102677e+04	1.87457522453915e+01	1.77395065123719e+02
8.70963589956087e+04	1.87448924535953e+01	1.77272477793505e+02
9.12010839355916e+04	1.87439499062426e+01	1.77144139637973e+02
9.54992586021443e+04	1.87429166586885e+01	1.77009783547458e+02
1.00000000000001e+05	1.87417840077517e+01	1.76869130400904e+02
1.04712854805091e+05	1.87405424201310e+01	1.76721888584406e+02
1.09647819614319e+05	1.87391814542333e+01	1.76567753499367e+02
1.14815362149689e+05	1.87376896748445e+01	1.76406407061551e+02
1.20226443461742e+05	1.87360545600278e+01	1.76237517192622e+02
1.25892541179418e+05	1.87342623995899e+01	1.76060737306088e+02
1.31825673855642e+05	1.87322981844119e+01	1.75875705790017e+02
1.38038426460290e+05	1.87301454858940e+01	1.75682045489327e+02
1.44543977074594e+05	1.87277863247149e+01	1.75479363190997e+02
1.51356124843622e+05	1.87252010280622e+01	1.75267249116168e+02
1.58489319246113e+05	1.87223680744433e+01	1.75045276423784e+02
1.65958690743757e+05	1.87192639251434e+01	1.74813000731218e+02
1.73780082874939e+05	1.87158628413583e+01	1.74569959658235e+02
1.81970085861000e+05	1.87121366859946e+01	1.74315672401634e+02
1.90546071796326e+05	1.87080547091067e+01	1.74049639349056e+02
1.99526231496890e+05	1.87035833159217e+01	1.73771341741721e+02
2.08929613085406e+05	1.86986858164022e+01	1.73480241397269e+02
2.18776162394957e+05	1.86933221553140e+01	1.73175780505466e+02
2.29086765276779e+05	1.86874486218003e+01	1.72857381511266e+02
2.39883291901951e+05	1.86810175375301e+01	1.72524447101670e+02
2.51188643150960e+05	1.86739769225866e+01	1.72176360314875e+02
2.63026799189540e+05	1.86662701383964e+01	1.71812484792535e+02
2.75422870333819e+05	1.86578355071912e+01	1.71432165198368e+02
2.88403150312663e+05	1.86486059077322e+01	1.71034727828972e+02
3.01995172040204e+05	1.86385083473446e+01	1.70619481445468e+02
3.16227766016841e+05	1.86274635106976e+01	1.70185718357451e+02
3.31131121482594e+05	1.86153852862477e+01	1.69732715793630e+02
3.46736850452535e+05	1.86021802718542e+01	1.69259737596480e+02
3.63078054770105e+05	1.85877472617777e+01	1.68766036281020e+02
3.80189396320565e+05	1.85719767181154e+01	1.68250855500455e+02
