time	V(u_in)	V(u_out)
0.000000000000000e+00	0.000000e+00	1.800001e+00
2.500000000000000e-06	0.000000e+00	1.800000e+00
2.500028245895743e-06	5.084261e-02	1.800155e+00
2.500084737687230e-06	1.525278e-01	1.800524e+00
2.500197721270203e-06	3.558983e-01	1.802010e+00
2.500268239829480e-06	4.828317e-01	1.803993e+00
2.500345576986941e-06	6.220386e-01	1.806648e+00
2.500430457602824e-06	7.748237e-01	1.808324e+00
2.500521382981121e-06	9.384894e-01	1.806438e+00
2.500703233737714e-06	1.265821e+00	1.786443e+00
2.501000000000000e-06	1.800000e+00	1.727048e+00
2.501029676626228e-06	1.800000e+00	1.715375e+00
2.501089029878685e-06	1.800000e+00	1.691935e+00
2.501207736383600e-06	1.800000e+00	1.644781e+00
2.501445149393428e-06	1.800000e+00	1.550052e+00
2.501783004644468e-06	1.800000e+00	1.415190e+00
2.502156862269995e-06	1.800000e+00	1.267141e+00
2.502904577521050e-06	1.800000e+00	9.881459e-01
2.504221635751003e-06	1.800000e+00	5.787249e-01
2.505630578103379e-06	1.800000e+00	2.805328e-01
2.507026939500545e-06	1.800000e+00	1.142659e-01
2.507645323499323e-06	1.800000e+00	7.616493e-02
2.508272820671121e-06	1.800000e+00	5.578766e-02
2.509046691568700e-06	1.800000e+00	4.001919e-02
2.509896211422333e-06	1.800000e+00	2.961259e-02
2.510769766833171e-06	1.800000e+00	2.354930e-02
2.511709620400797e-06	1.800000e+00	1.998374e-02
2.512776221868971e-06	1.800000e+00	1.783600e-02
2.514058178253091e-06	1.800000e+00	1.652823e-02
2.515649278340074e-06	1.800000e+00	1.575218e-02
2.517733449800553e-06	1.800000e+00	1.529514e-02
2.520621312966260e-06	1.800000e+00	1.502884e-02
2.524966727339328e-06	1.800000e+00	1.488117e-02
2.531964108275999e-06	1.800000e+00	1.481467e-02
2.541729733275999e-06	1.800000e+00	1.479931e-02
7.500000000000001e-06	1.800000e+00	1.479884e-02
7.501000000000000e-06	1.800000e+00	1.479884e-02
7.501009967064217e-06	1.782059e+00	1.410351e-02
7.501029901192652e-06	1.746178e+00	1.272930e-02
7.501069769449522e-06	1.674415e+00	1.005649e-02
7.501149505963262e-06	1.530889e+00	4.960977e-03
7.501308978990740e-06	1.243838e+00	-4.644083e-03
7.501548252736052e-06	8.131451e-01	-1.840900e-02
7.501670458238644e-06	5.931752e-01	-2.524902e-02
7.501755588994817e-06	4.399398e-01	-2.956960e-02
7.501816952915583e-06	3.294848e-01	-3.142859e-02
7.501907201359983e-06	1.670375e-01	-3.208571e-02
7.501914092389927e-06	1.546337e-01	-3.206813e-02
7.501927874449816e-06	1.298260e-01	-3.199469e-02
7.501955438569594e-06	8.021057e-02	-3.184472e-02
7.501999999999999e-06	0.000000e+00	-3.159980e-02
7.502004456143040e-06	0.000000e+00	-3.155008e-02
7.502013368429121e-06	0.000000e+00	-3.145065e-02
7.502336757095490e-06	0.000000e+00	-2.784945e-02
7.502660145761859e-06	0.000000e+00	-2.425602e-02
7.502983534428227e-06	0.000000e+00	-2.067037e-02
7.503306923094596e-06	0.000000e+00	-1.709248e-02
7.503630311760965e-06	0.000000e+00	-1.352237e-02
7.503953700427334e-06	0.000000e+00	-9.960033e-03
7.504277089093703e-06	0.000000e+00	-6.405466e-03
7.506558634330446e-06	0.000000e+00	1.856209e-02
7.511121724803933e-06	0.000000e+00	6.806519e-02
7.520247905750907e-06	0.000000e+00	1.662569e-01
7.530013530750907e-06	0.000000e+00	2.705338e-01
7.559310405750906e-06	0.000000e+00	5.786269e-01
7.570471120036620e-06	0.000000e+00	6.941602e-01
7.581631834322334e-06	0.000000e+00	8.087149e-01
7.592792548608048e-06	0.000000e+00	9.222910e-01
7.603953262893761e-06	0.000000e+00	1.034889e+00
7.615113977179475e-06	0.000000e+00	1.146508e+00
7.626274691465189e-06	0.000000e+00	1.257148e+00
7.637435405750903e-06	0.000000e+00	1.366810e+00
7.647201030750902e-06	0.000000e+00	1.461767e+00
7.656966655750902e-06	0.000000e+00	1.554825e+00
7.666732280750901e-06	0.000000e+00	1.641258e+00
7.676497905750901e-06	0.000000e+00	1.711303e+00
7.686263530750901e-06	0.000000e+00	1.757442e+00
7.696029155750900e-06	0.000000e+00	1.781871e+00
7.705794780750900e-06	0.000000e+00	1.792814e+00
7.715560405750899e-06	0.000000e+00	1.797259e+00
7.725326030750899e-06	0.000000e+00	1.798972e+00
7.735091655750899e-06	0.000000e+00	1.799614e+00
7.744857280750898e-06	0.000000e+00	1.799853e+00
7.754622905750898e-06	0.000000e+00	1.799944e+00
7.764388530750898e-06	0.000000e+00	1.799979e+00
7.782524691465183e-06	0.000000e+00	1.799988e+00
7.800660852179467e-06	0.000000e+00	1.799995e+00
7.818797012893753e-06	0.000000e+00	1.800000e+00
7.836933173608037e-06	0.000000e+00	1.800003e+00
7.855069334322323e-06	0.000000e+00	1.800004e+00
7.873205495036607e-06	0.000000e+00	1.800003e+00
7.891341655750892e-06	0.000000e+00	1.800000e+00
9.190169780750839e-06	0.000000e+00	1.800000e+00
9.990951030750807e-06	0.000000e+00	1.800000e+00
9.999999999999999e-06	0.000000e+00	1.800000e+00
