f	Au	phase
1.00000000000000e+03	6.09247163051403e+01	7.92502801166643e+01
1.12201845430196e+03	6.21615262140086e+01	7.75971021313421e+01
1.25892541179417e+03	6.34648978215268e+01	7.55643060660495e+01
1.41253754462275e+03	6.48547076622537e+01	7.30048729546982e+01
1.58489319246111e+03	6.63566213656198e+01	6.96839209017105e+01
1.77827941003892e+03	6.80019370025114e+01	6.52081205973575e+01
1.99526231496888e+03	6.98214497838853e+01	5.88878345273801e+01
2.23872113856834e+03	7.18155079161351e+01	4.94838945499007e+01
2.51188643150958e+03	7.38419353907399e+01	3.49301980450007e+01
2.81838293126445e+03	7.53391526104319e+01	1.32404231772676e+01
3.16227766016838e+03	7.53647468739367e+01	-1.26987279436712e+01
3.54813389233575e+03	7.38974832387385e+01	-3.45961695940694e+01
3.98107170553497e+03	7.18756534402712e+01	-4.93430132198448e+01
4.46683592150963e+03	6.98774238343741e+01	-5.88716840402909e+01
5.01187233627272e+03	6.80525112639974e+01	-6.52715087809132e+01
5.62341325190348e+03	6.64024969034516e+01	-6.98028758449368e+01
6.30957344480192e+03	6.48968502940451e+01	-7.31674137882895e+01
7.07945784384137e+03	6.35041485835432e+01	-7.57649314649118e+01
7.94328234724280e+03	6.21985468822478e+01	-7.78339767368325e+01
8.91250938133744e+03	6.09600124483126e+01	-7.95238101796216e+01
9.99999999999999e+03	5.97732651456803e+01	-8.09320073454415e+01
1.12201845430196e+04	5.86266668509486e+01	-8.21249150866204e+01
1.25892541179417e+04	5.75113204475082e+01	-8.31492702042750e+01
1.41253754462275e+04	5.64203883426555e+01	-8.40390705573660e+01
1.58489319246111e+04	5.53485873597703e+01	-8.48197888427668e+01
1.77827941003892e+04	5.42918151344118e+01	-8.55110414787385e+01
1.99526231496888e+04	5.32468723475442e+01	-8.61283283143663e+01
2.23872113856833e+04	5.22112545815272e+01	-8.66841965369768e+01
2.51188643150957e+04	5.11829950130116e+01	-8.71890383463297e+01
2.81838293126445e+04	5.01605445401006e+01	-8.76516503870747e+01
3.16227766016837e+04	4.91426797342297e+01	-8.80796351806265e+01
3.54813389233575e+04	4.81284316619586e+01	-8.84796960454383e+01
3.98107170553496e+04	4.71170304857852e+01	-8.88578592379838e+01
4.46683592150962e+04	4.61078620721540e+01	-8.92196458314698e+01
5.01187233627271e+04	4.51004337775373e+01	-8.95702086239804e+01
5.62341325190348e+04	4.40943472639539e+01	-8.99144446312104e+01
6.30957344480192e+04	4.30892766907832e+01	-9.02570905654928e+01
7.07945784384136e+04	4.20849509927217e+01	-9.06028065730051e+01
7.94328234724279e+04	4.10811392201126e+01	-9.09562520412365e+01
8.91250938133743e+04	4.00776381124145e+01	-9.13221562701542e+01
9.99999999999997e+04	3.90742612154247e+01	-9.17053860708142e+01
1.12201845430196e+05	3.80708289500102e+01	-9.21110118095353e+01
1.25892541179416e+05	3.70671591029141e+01	-9.25443729780644e+01
1.41253754462275e+05	3.60630572446364e+01	-9.30111439808460e+01
1.58489319246111e+05	3.50583065897810e+01	-9.35174004379707e+01
1.77827941003892e+05	3.40526568051395e+01	-9.40696858565904e+01
1.99526231496887e+05	3.30458112435633e+01	-9.46750779708544e+01
2.23872113856833e+05	3.20374120416534e+01	-9.53412533290348e+01
2.51188643150957e+05	3.10270224728172e+01	-9.60765477433278e+01
2.81838293126444e+05	3.00141059044615e+01	-9.68900089265380e+01
3.16227766016837e+05	2.89980006853662e+01	-9.77914359225729e+01
3.54813389233574e+05	2.79778903124347e+01	-9.87913976929568e+01
3.98107170553496e+05	2.69527683344534e+01	-9.99012203641395e+01
4.46683592150961e+05	2.59213977019553e+01	-1.01132929140455e+02
5.01187233627270e+05	2.48822647469201e+01	-1.02499126841087e+02
5.62341325190347e+05	2.38335287774531e+01	-1.04012786761384e+02
6.30957344480191e+05	2.27729695205166e+01	-1.05686933829732e+02
7.07945784384135e+05	2.16979364522717e+01	-1.07534186187974e+02
7.94328234724278e+05	2.06053064725513e+01	-1.09566131548283e+02
8.91250938133741e+05	1.94914593064254e+01	-1.11792522058342e+02
9.99999999999995e+05	1.83522830618647e+01	-1.14220291634144e+02
1.12201845430196e+06	1.71832247071078e+01	-1.16852434071997e+02
1.25892541179416e+06	1.59794004967703e+01	-1.19686829489891e+02
1.41253754462275e+06	1.47357778256986e+01	-1.22715165905277e+02
1.58489319246111e+06	1.34474310420387e+01	-1.25922158443641e+02
1.77827941003891e+06	1.21098590310861e+01	-1.29285297908841e+02
1.99526231496887e+06	1.07193339617486e+01	-1.32775336329012e+02
2.23872113856833e+06	9.27323360009849e+00	-1.36357621393536e+02
2.51188643150957e+06	7.77030115412427e+00	-1.39994230996910e+02
2.81838293126444e+06	6.21078269052698e+00	-1.43646673595986e+02
3.16227766016836e+06	4.59641372875075e+00	-1.47278773580424e+02
3.54813389233573e+06	2.93025777493068e+00	-1.50859311509814e+02
3.98107170553495e+06	1.21642969978130e+00	-1.54364057270851e+02
4.46683592150961e+06	-5.40244052102437e-01	-1.57776990557279e+02
5.01187233627269e+06	-2.33457298304022e+00	-1.61090685807139e+02
5.62341325190346e+06	-4.16131232286763e+00	-1.64305987317211e+02
6.30957344480190e+06	-6.01540650315387e+00	-1.67431181864808e+02
7.07945784384134e+06	-7.89215482675308e+00	-1.70480891279270e+02
7.94328234724277e+06	-9.78730083219877e+00	-1.73474877789861e+02
8.91250938133740e+06	-1.16970547070687e+01	-1.76436906425663e+02
1.00000000000000e+07	-1.36180618557719e+01	-1.79393759004183e+02
