v_in	V(u_out)
0.000000000000000e+00	9.013269e-02
1.000000000000000e-03	9.026134e-02
2.000000000000000e-03	9.039289e-02
3.000000000000000e-03	9.052520e-02
4.000000000000000e-03	9.065901e-02
5.000000000000000e-03	9.079435e-02
6.000000000000000e-03	9.093126e-02
7.000000000000000e-03	9.106974e-02
8.000000000000000e-03	9.120984e-02
9.000000000000001e-03	9.135157e-02
1.000000000000000e-02	9.149496e-02
1.100000000000000e-02	9.164005e-02
1.200000000000000e-02	9.178685e-02
1.300000000000000e-02	9.193541e-02
1.400000000000001e-02	9.208575e-02
1.500000000000001e-02	9.223790e-02
1.600000000000001e-02	9.239189e-02
1.700000000000001e-02	9.254775e-02
1.800000000000001e-02	9.270553e-02
1.900000000000001e-02	9.286524e-02
2.000000000000001e-02	9.302692e-02
2.100000000000001e-02	9.319062e-02
2.200000000000001e-02	9.335636e-02
2.300000000000001e-02	9.352417e-02
2.400000000000001e-02	9.369411e-02
2.500000000000002e-02	9.386620e-02
2.600000000000002e-02	9.404048e-02
2.700000000000002e-02	9.421700e-02
2.800000000000002e-02	9.439579e-02
2.900000000000002e-02	9.457690e-02
3.000000000000002e-02	9.476037e-02
3.100000000000002e-02	9.494623e-02
3.200000000000002e-02	9.513453e-02
3.300000000000002e-02	9.532533e-02
3.400000000000002e-02	9.551865e-02
3.500000000000002e-02	9.571456e-02
3.600000000000003e-02	9.591309e-02
3.700000000000003e-02	9.611430e-02
3.800000000000003e-02	9.631824e-02
3.900000000000003e-02	9.652495e-02
4.000000000000003e-02	9.673449e-02
4.100000000000003e-02	9.694692e-02
4.200000000000003e-02	9.716228e-02
4.300000000000003e-02	9.738062e-02
4.400000000000003e-02	9.760202e-02
4.500000000000003e-02	9.782651e-02
4.600000000000003e-02	9.805417e-02
4.700000000000003e-02	9.828506e-02
4.800000000000004e-02	9.851921e-02
4.900000000000004e-02	9.875672e-02
5.000000000000004e-02	9.899764e-02
5.100000000000004e-02	9.924203e-02
5.200000000000004e-02	9.948996e-02
5.300000000000004e-02	9.974149e-02
5.400000000000004e-02	9.999669e-02
5.500000000000004e-02	1.002556e-01
5.600000000000004e-02	1.005184e-01
5.700000000000004e-02	1.007851e-01
5.800000000000004e-02	1.010557e-01
5.900000000000005e-02	1.013303e-01
6.000000000000005e-02	1.016091e-01
6.100000000000005e-02	1.018920e-01
6.200000000000005e-02	1.021792e-01
6.300000000000004e-02	1.024708e-01
6.400000000000004e-02	1.027668e-01
6.500000000000004e-02	1.030673e-01
6.600000000000004e-02	1.033724e-01
6.700000000000005e-02	1.036821e-01
6.800000000000005e-02	1.039967e-01
6.900000000000005e-02	1.043161e-01
7.000000000000005e-02	1.046404e-01
7.100000000000005e-02	1.049698e-01
7.200000000000005e-02	1.053043e-01
7.300000000000005e-02	1.056441e-01
7.400000000000005e-02	1.059891e-01
