v_in	V(u_out)
0.000000000000000e+00	1.798473e+00
1.000000000000000e-03	1.798474e+00
2.000000000000000e-03	1.798475e+00
3.000000000000000e-03	1.798476e+00
4.000000000000000e-03	1.798477e+00
5.000000000000000e-03	1.798478e+00
6.000000000000000e-03	1.798478e+00
7.000000000000000e-03	1.798479e+00
8.000000000000000e-03	1.798480e+00
9.000000000000001e-03	1.798481e+00
1.000000000000000e-02	1.798482e+00
1.100000000000000e-02	1.798483e+00
1.200000000000000e-02	1.798483e+00
1.300000000000000e-02	1.798484e+00
1.400000000000001e-02	1.798485e+00
1.500000000000001e-02	1.798486e+00
1.600000000000001e-02	1.798487e+00
1.700000000000001e-02	1.798488e+00
1.800000000000001e-02	1.798489e+00
1.900000000000001e-02	1.798489e+00
2.000000000000001e-02	1.798490e+00
2.100000000000001e-02	1.798491e+00
2.200000000000001e-02	1.798492e+00
2.300000000000001e-02	1.798493e+00
2.400000000000001e-02	1.798494e+00
2.500000000000002e-02	1.798495e+00
2.600000000000002e-02	1.798495e+00
2.700000000000002e-02	1.798496e+00
2.800000000000002e-02	1.798497e+00
2.900000000000002e-02	1.798498e+00
3.000000000000002e-02	1.798499e+00
3.100000000000002e-02	1.798500e+00
3.200000000000002e-02	1.798501e+00
3.300000000000002e-02	1.798501e+00
3.400000000000002e-02	1.798502e+00
3.500000000000002e-02	1.798503e+00
3.600000000000003e-02	1.798504e+00
3.700000000000003e-02	1.798505e+00
3.800000000000003e-02	1.798506e+00
3.900000000000003e-02	1.798506e+00
4.000000000000003e-02	1.798507e+00
4.100000000000003e-02	1.798508e+00
4.200000000000003e-02	1.798509e+00
4.300000000000003e-02	1.798510e+00
4.400000000000003e-02	1.798511e+00
4.500000000000003e-02	1.798512e+00
4.600000000000003e-02	1.798512e+00
4.700000000000003e-02	1.798513e+00
4.800000000000004e-02	1.798514e+00
4.900000000000004e-02	1.798515e+00
5.000000000000004e-02	1.798516e+00
5.100000000000004e-02	1.798517e+00
5.200000000000004e-02	1.798518e+00
5.300000000000004e-02	1.798518e+00
5.400000000000004e-02	1.798519e+00
5.500000000000004e-02	1.798520e+00
5.600000000000004e-02	1.798521e+00
5.700000000000004e-02	1.798522e+00
5.800000000000004e-02	1.798523e+00
5.900000000000005e-02	1.798524e+00
6.000000000000005e-02	1.798524e+00
6.100000000000005e-02	1.798525e+00
6.200000000000005e-02	1.798526e+00
6.300000000000004e-02	1.798527e+00
6.400000000000004e-02	1.798528e+00
6.500000000000004e-02	1.798529e+00
6.600000000000004e-02	1.798530e+00
6.700000000000005e-02	1.798530e+00
6.800000000000005e-02	1.798531e+00
6.900000000000005e-02	1.798532e+00
7.000000000000005e-02	1.798533e+00
7.100000000000005e-02	1.798534e+00
7.200000000000005e-02	1.798535e+00
7.300000000000005e-02	1.798535e+00
7.400000000000005e-02	1.798536e+00
7.500000000000005e-02	1.798537e+00
7.600000000000005e-02	1.798538e+00
7.700000000000005e-02	1.798539e+00
7.800000000000006e-02	1.798540e+00
7.900000000000006e-02	1.798541e+00
8.000000000000006e-02	1.798541e+00
8.100000000000006e-02	1.798542e+00
8.200000000000006e-02	1.798543e+00
8.300000000000006e-02	1.798544e+00
8.400000000000006e-02	1.798545e+00
8.500000000000006e-02	1.798546e+00
8.600000000000006e-02	1.798547e+00
8.700000000000006e-02	1.798547e+00
8.800000000000006e-02	1.798548e+00
8.900000000000007e-02	1.798549e+00
9.000000000000007e-02	1.798550e+00
9.100000000000007e-02	1.798551e+00
9.200000000000007e-02	1.798552e+00
9.300000000000007e-02	1.798553e+00
9.400000000000007e-02	1.798553e+00
9.500000000000007e-02	1.798554e+00
9.600000000000007e-02	1.798555e+00
9.700000000000007e-02	1.798556e+00
9.800000000000007e-02	1.798557e+00
9.900000000000007e-02	1.798558e+00
1.000000000000001e-01	1.798558e+00
1.010000000000001e-01	1.798559e+00
1.020000000000001e-01	1.798560e+00
1.030000000000001e-01	1.798561e+00
1.040000000000001e-01	1.798562e+00
1.050000000000001e-01	1.798563e+00
1.060000000000001e-01	1.798564e+00
1.070000000000001e-01	1.798564e+00
1.080000000000001e-01	1.798565e+00
1.090000000000001e-01	1.798566e+00
1.100000000000001e-01	1.798567e+00
1.110000000000001e-01	1.798568e+00
1.120000000000001e-01	1.798569e+00
1.130000000000001e-01	1.798570e+00
1.140000000000001e-01	1.798570e+00
1.150000000000001e-01	1.798571e+00
1.160000000000001e-01	1.798572e+00
1.170000000000001e-01	1.798573e+00
1.180000000000001e-01	1.798574e+00
1.190000000000001e-01	1.798575e+00
1.200000000000001e-01	1.798576e+00
1.210000000000001e-01	1.798576e+00
1.220000000000001e-01	1.798577e+00
1.230000000000001e-01	1.798578e+00
1.240000000000001e-01	1.798579e+00
1.250000000000001e-01	1.798580e+00
1.260000000000001e-01	1.798581e+00
1.270000000000001e-01	1.798581e+00
