time	V(u_in)	V(u_out)
0.000000000000000e+00	0.000000e+00	9.013268e-02
1.171874999999817e-08	0.000000e+00	9.013269e-02
3.515624999999450e-08	0.000000e+00	9.013270e-02
1.999999999999994e-06	0.000000e+00	9.013269e-02
2.000012861519895e-06	2.315074e-02	9.021890e-02
2.000038584559695e-06	6.945220e-02	9.038577e-02
2.000090030639297e-06	1.620551e-01	9.069373e-02
2.000192922798486e-06	3.472610e-01	9.125206e-02
2.000273723720998e-06	4.927027e-01	9.163700e-02
2.000361310466932e-06	6.503589e-01	9.196217e-02
2.000444073459870e-06	7.993322e-01	9.218378e-02
2.000496995370620e-06	8.945917e-01	9.229837e-02
2.000568709480517e-06	1.023677e+00	9.244493e-02
2.000684736069868e-06	1.232525e+00	9.267742e-02
2.000767946821281e-06	1.382304e+00	9.284168e-02
2.000833578497170e-06	1.500441e+00	9.296990e-02
2.000868736648219e-06	1.563726e+00	9.303833e-02
2.000929683697899e-06	1.673431e+00	9.315712e-02
2.000999999999997e-06	1.800000e+00	9.329475e-02
2.001007031630212e-06	1.800000e+00	9.328350e-02
2.001021094890629e-06	1.800000e+00	9.326090e-02
2.001049221411462e-06	1.800000e+00	9.321519e-02
2.001105474453143e-06	1.800000e+00	9.312247e-02
2.001217980536504e-06	1.800000e+00	9.293401e-02
2.001415926261934e-06	1.800000e+00	9.259641e-02
2.001625841192329e-06	1.800000e+00	9.223710e-02
2.001876950274859e-06	1.800000e+00	9.182458e-02
2.002211126921053e-06	1.800000e+00	9.133327e-02
2.002704199777089e-06	1.800000e+00	9.073557e-02
2.003324934606769e-06	1.800000e+00	9.017871e-02
2.004100334371145e-06	1.800000e+00	8.975232e-02
2.005131783544775e-06	1.800000e+00	8.954877e-02
2.006474158018154e-06	1.800000e+00	8.974187e-02
2.008085404206614e-06	1.800000e+00	9.049927e-02
2.010143530338469e-06	1.800000e+00	9.206361e-02
2.012123686052672e-06	1.800000e+00	9.408155e-02
2.014760271113912e-06	1.800000e+00	9.737028e-02
2.017605295852331e-06	1.800000e+00	1.014718e-01
2.021486173338905e-06	1.800000e+00	1.076936e-01
2.025925294320434e-06	1.800000e+00	1.153153e-01
2.032264979784598e-06	1.800000e+00	1.266237e-01
2.037513659245368e-06	1.800000e+00	1.361401e-01
2.042126929901843e-06	1.800000e+00	1.445781e-01
2.047634785216066e-06	1.800000e+00	1.547582e-01
2.054956380540224e-06	1.800000e+00	1.685701e-01
2.064187089004512e-06	1.800000e+00	1.865467e-01
2.076717591434867e-06	1.800000e+00	2.117821e-01
2.092414859937913e-06	1.800000e+00	2.441284e-01
2.107955557134855e-06	1.800000e+00	2.764676e-01
2.128068892202805e-06	1.800000e+00	3.183596e-01
2.158551038568984e-06	1.800000e+00	3.816177e-01
2.206551038568981e-06	1.800000e+00	4.806838e-01
2.254551038568977e-06	1.800000e+00	5.790942e-01
2.302551038568974e-06	1.800000e+00	6.767880e-01
2.350551038568971e-06	1.800000e+00	7.737677e-01
2.398551038568968e-06	1.800000e+00	8.700188e-01
2.446551038568965e-06	1.800000e+00	9.654868e-01
2.494551038568962e-06	1.800000e+00	1.060116e+00
2.542551038568958e-06	1.800000e+00	1.153967e+00
2.590551038568955e-06	1.800000e+00	1.247296e+00
2.638551038568952e-06	1.800000e+00	1.340499e+00
2.686551038568949e-06	1.800000e+00	1.433774e+00
2.734551038568946e-06	1.800000e+00	1.526456e+00
2.782551038568943e-06	1.800000e+00	1.615077e+00
2.830551038568939e-06	1.800000e+00	1.690991e+00
2.878551038568936e-06	1.800000e+00	1.744470e+00
2.926551038568933e-06	1.800000e+00	1.773962e+00
2.974551038568930e-06	1.800000e+00	1.786863e+00
3.022551038568927e-06	1.800000e+00	1.791649e+00
3.070551038568924e-06	1.800000e+00	1.793278e+00
3.118551038568920e-06	1.800000e+00	1.793820e+00
3.166551038568917e-06	1.800000e+00	1.794004e+00
3.214551038568914e-06	1.800000e+00	1.794074e+00
3.262551038568911e-06	1.800000e+00	1.794108e+00
3.310551038568908e-06	1.800000e+00	1.794130e+00
3.406551038568901e-06	1.800000e+00	1.794162e+00
3.523122467140323e-06	1.800000e+00	1.794190e+00
3.639693895711743e-06	1.800000e+00	1.794214e+00
3.756265324283164e-06	1.800000e+00	1.794236e+00
3.872836752854585e-06	1.800000e+00	1.794256e+00
3.989408181426006e-06	1.800000e+00	1.794272e+00
4.105979609997427e-06	1.800000e+00	1.794286e+00
4.222551038568848e-06	1.800000e+00	1.794298e+00
4.489979609997401e-06	1.800000e+00	1.794322e+00
4.757408181425955e-06	1.800000e+00	1.794343e+00
5.024836752854509e-06	1.800000e+00	1.794363e+00
5.292265324283063e-06	1.800000e+00	1.794380e+00
5.559693895711617e-06	1.800000e+00	1.794396e+00
